x,y,sigma_y
0.512931,19.448905,2.703553
0.788819,30.405068,2.338593
1.163626,24.011468,1.598214
1.177249,24.201396,2.205231
1.790122,-5.828373,2.103036
2.057439,33.039809,1.986950
2.229649,29.843141,2.435493
2.323923,28.939773,2.447369
2.780340,29.093708,2.170985
3.435588,27.829865,1.939571
3.902738,30.982407,2.920977
4.542284,32.592861,2.943795
4.594836,27.754565,1.339790
4.856744,54.844414,2.002260
5.149231,35.325910,2.443754
5.240780,31.348843,1.809404
5.718905,32.599424,1.820242
5.745944,34.265487,2.166954
6.531258,34.155506,2.346933
7.168927,2.190586,2.324220
7.288192,38.879702,2.317384
7.511028,37.041763,1.513683
7.526812,35.721837,1.616678
8.248335,36.634134,1.135575
8.528067,38.450905,1.821782
8.558603,38.999374,1.497660
9.287879,44.538897,2.788456
9.291023,39.418096,2.004305
9.634960,37.644821,2.036492
9.917055,37.028561,2.645031
