x,y,sigma_y
0.182995,40.294650,1.991359
0.473584,39.030622,1.791205
0.568471,42.971203,1.941641
0.944732,39.655479,2.560083
1.100471,41.874960,1.987555
1.452990,40.925932,1.237061
1.551429,39.418404,2.809186
1.778446,41.317126,1.256925
2.353962,41.189262,1.985088
2.573931,45.023793,1.867275
3.255913,49.047702,2.160899
3.382218,45.550102,2.462382
3.517842,46.223060,1.998241
4.268392,48.425567,2.427811
4.609995,49.705810,2.546504
4.806402,49.223395,1.483206
5.815964,57.984082,1.164774
5.959407,49.321008,1.997881
6.019008,48.640064,2.022903
6.531075,52.602996,1.930338
6.534047,50.771239,2.853023
6.539368,21.633197,2.048288
7.261618,53.076778,1.096778
7.607212,53.488960,1.291008
7.910395,54.410487,1.260236
8.091462,57.225438,1.890199
8.656964,55.437158,1.302908
9.217855,56.764010,2.660078
9.254353,60.734507,2.509111
9.799300,58.904390,2.205750
