# alert ephemeris (community pipeline, approximate): P_alert = 8.37 d, t0_alert = 8.2 d
t_days,flux_rel,sigma_flux
0.000000,0.997002,0.001276
0.020833,0.997824,0.001276
0.041667,0.995834,0.001276
0.062500,0.995691,0.001276
0.083333,0.997795,0.001276
0.104167,0.997400,0.001276
0.125000,0.996059,0.001276
0.145833,0.995866,0.001276
0.166667,0.997254,0.001276
0.187500,0.996938,0.001276
0.208333,0.997596,0.001276
0.229167,0.997042,0.001276
0.250000,0.997599,0.001276
0.270833,0.996160,0.001276
0.291667,0.995108,0.001276
0.312500,0.996340,0.001276
0.333333,0.996548,0.001276
0.354167,0.997281,0.001276
0.375000,0.997743,0.001276
0.395833,0.994691,0.001276
0.416667,0.993521,0.001276
0.437500,0.993947,0.001276
0.458333,0.997167,0.001276
0.479167,0.994988,0.001276
0.500000,0.997199,0.001276
0.520833,0.994904,0.001276
0.541667,0.994505,0.001276
0.562500,0.996216,0.001276
0.583333,0.995696,0.001276
0.604167,0.994907,0.001276
0.625000,0.993770,0.001276
0.645833,0.993289,0.001276
0.666667,0.996314,0.001276
0.687500,0.994316,0.001276
0.708333,0.994373,0.001276
0.729167,0.997652,0.001276
0.750000,0.992519,0.001276
0.770833,0.997012,0.001276
0.791667,0.994908,0.001276
0.812500,0.996235,0.001276
0.833333,0.994121,0.001276
0.854167,0.997512,0.001276
0.875000,0.996397,0.001276
0.895833,0.997162,0.001276
0.916667,0.996577,0.001276
0.937500,0.996167,0.001276
0.958333,0.995817,0.001276
0.979167,0.997274,0.001276
1.000000,0.995387,0.001276
1.020833,0.995799,0.001276
1.041667,0.996126,0.001276
1.062500,0.993970,0.001276
1.083333,0.997026,0.001276
1.104167,0.993917,0.001276
1.125000,0.993768,0.001276
1.145833,0.994621,0.001276
1.166667,0.993695,0.001276
1.187500,0.996203,0.001276
1.208333,0.994183,0.001276
1.229167,0.996066,0.001276
1.250000,0.996798,0.001276
1.270833,0.996689,0.001276
1.291667,0.994069,0.001276
1.312500,0.992909,0.001276
1.333333,0.994102,0.001276
1.354167,0.994722,0.001276
1.375000,0.989643,0.001276
1.395833,0.994147,0.001276
1.416667,0.994217,0.001276
1.437500,0.994415,0.001276
1.458333,0.993066,0.001276
1.479167,0.994228,0.001276
1.500000,0.996169,0.001276
1.520833,0.993552,0.001276
1.541667,0.994354,0.001276
1.562500,0.993533,0.001276
1.583333,0.995086,0.001276
1.604167,0.997296,0.001276
1.625000,0.993875,0.001276
1.645833,0.994875,0.001276
1.666667,0.995711,0.001276
1.687500,0.993725,0.001276
1.708333,0.992114,0.001276
1.729167,0.995882,0.001276
1.750000,0.993485,0.001276
1.770833,0.992560,0.001276
1.791667,0.994085,0.001276
1.812500,0.992661,0.001276
1.833333,0.993156,0.001276
1.854167,0.992034,0.001276
1.875000,0.991169,0.001276
1.895833,0.990212,0.001276
1.916667,0.992903,0.001276
1.937500,0.994954,0.001276
1.958333,0.994236,0.001276
1.979167,0.992101,0.001276
2.000000,0.990833,0.001276
2.020833,0.992566,0.001276
2.041667,0.993705,0.001276
2.062500,0.994962,0.001276
2.083333,0.993609,0.001276
2.104167,0.991386,0.001276
2.125000,0.992096,0.001276
2.145833,0.993536,0.001276
2.166667,0.993713,0.001276
2.187500,0.995320,0.001276
2.208333,0.997394,0.001276
2.229167,0.992774,0.001276
2.250000,0.995562,0.001276
2.270833,0.994927,0.001276
2.291667,0.994462,0.001276
2.312500,0.993320,0.001276
2.333333,0.996159,0.001276
2.354167,0.996407,0.001276
2.375000,0.995243,0.001276
2.395833,0.994768,0.001276
2.416667,0.994022,0.001276
2.437500,0.995398,0.001276
2.458333,0.994427,0.001276
2.479167,0.994115,0.001276
2.500000,0.995951,0.001276
2.520833,0.996404,0.001276
2.541667,0.995199,0.001276
2.562500,0.998281,0.001276
2.583333,0.994418,0.001276
2.604167,0.996244,0.001276
2.625000,0.996290,0.001276
2.645833,0.994443,0.001276
2.666667,0.995847,0.001276
2.687500,0.996239,0.001276
2.708333,0.997105,0.001276
2.729167,0.998658,0.001276
2.750000,0.997419,0.001276
2.770833,0.995811,0.001276
2.791667,0.995607,0.001276
2.812500,0.994549,0.001276
2.833333,0.993801,0.001276
2.854167,0.996429,0.001276
2.875000,0.994182,0.001276
2.895833,0.994399,0.001276
2.916667,0.996245,0.001276
2.937500,0.997138,0.001276
2.958333,0.995775,0.001276
2.979167,0.998460,0.001276
3.000000,0.997516,0.001276
3.020833,0.994674,0.001276
3.041667,0.994968,0.001276
3.062500,0.998583,0.001276
3.083333,0.995247,0.001276
3.104167,0.995075,0.001276
3.125000,0.995039,0.001276
3.145833,0.995790,0.001276
3.166667,0.993132,0.001276
3.187500,0.997168,0.001276
3.208333,0.997541,0.001276
3.229167,0.997714,0.001276
3.250000,0.998733,0.001276
3.270833,0.995793,0.001276
3.291667,0.997066,0.001276
3.312500,0.994618,0.001276
3.333333,0.996265,0.001276
3.354167,0.998265,0.001276
3.375000,0.995000,0.001276
3.395833,0.995740,0.001276
3.416667,0.995223,0.001276
3.437500,0.996372,0.001276
3.458333,0.996233,0.001276
3.479167,0.997352,0.001276
3.500000,0.996426,0.001276
3.520833,0.996953,0.001276
3.541667,0.995714,0.001276
3.562500,0.997441,0.001276
3.583333,0.994881,0.001276
3.604167,0.995815,0.001276
3.625000,0.996270,0.001276
3.645833,0.998061,0.001276
3.666667,0.997235,0.001276
