# alert ephemeris (community pipeline, approximate): P_alert = 5.91 d, t0_alert = 0.8 d
t_days,flux_rel,sigma_flux
0.000000,0.997148,0.001030
0.020833,0.998654,0.001030
0.041667,0.995399,0.001030
0.062500,0.996793,0.001030
0.083333,0.995827,0.001030
0.104167,0.998117,0.001030
0.125000,0.996192,0.001030
0.145833,1.000783,0.001030
0.166667,0.998100,0.001030
0.187500,0.999472,0.001030
0.208333,0.997552,0.001030
0.229167,0.996762,0.001030
0.250000,0.997645,0.001030
0.270833,0.998764,0.001030
0.291667,0.996503,0.001030
0.312500,0.997916,0.001030
0.333333,0.997420,0.001030
0.354167,0.996220,0.001030
0.375000,0.995205,0.001030
0.395833,0.996347,0.001030
0.416667,0.995635,0.001030
0.437500,0.995533,0.001030
0.458333,0.995011,0.001030
0.479167,0.996094,0.001030
0.500000,0.994237,0.001030
0.520833,0.996686,0.001030
0.541667,0.996977,0.001030
0.562500,0.999024,0.001030
0.583333,0.995516,0.001030
0.604167,0.994672,0.001030
0.625000,0.997320,0.001030
0.645833,0.996347,0.001030
0.666667,0.996695,0.001030
0.687500,0.997755,0.001030
0.708333,1.000838,0.001030
0.729167,0.999827,0.001030
0.750000,0.996624,0.001030
0.770833,0.994100,0.001030
0.791667,0.989614,0.001030
0.812500,0.994191,0.001030
0.833333,1.000515,0.001030
0.854167,0.999394,0.001030
0.875000,1.000149,0.001030
0.895833,1.000869,0.001030
0.916667,0.998401,0.001030
0.937500,1.002196,0.001030
0.958333,0.999819,0.001030
0.979167,0.999136,0.001030
1.000000,1.000755,0.001030
1.020833,0.999195,0.001030
1.041667,0.999458,0.001030
1.062500,0.999167,0.001030
1.083333,1.001206,0.001030
1.104167,1.000164,0.001030
1.125000,1.000946,0.001030
1.145833,1.000154,0.001030
1.166667,1.003581,0.001030
1.187500,1.000231,0.001030
1.208333,0.998477,0.001030
1.229167,0.999786,0.001030
1.250000,0.998408,0.001030
1.270833,0.999954,0.001030
1.291667,0.997696,0.001030
1.312500,0.998915,0.001030
1.333333,0.998148,0.001030
1.354167,0.998448,0.001030
1.375000,0.998542,0.001030
1.395833,0.998500,0.001030
1.416667,0.997430,0.001030
1.437500,0.997455,0.001030
1.458333,0.998513,0.001030
1.479167,0.998739,0.001030
1.500000,0.998905,0.001030
1.520833,0.996999,0.001030
1.541667,1.000847,0.001030
1.562500,0.998991,0.001030
1.583333,0.997780,0.001030
1.604167,0.999495,0.001030
1.625000,1.001215,0.001030
1.645833,0.999720,0.001030
1.666667,1.001642,0.001030
1.687500,1.000881,0.001030
