logMstar,err_logMstar,logMBH,err_logMBH
8.196050,0.209625,5.790546,0.256312
8.272705,0.380471,4.885449,0.371998
8.331174,0.278392,5.329256,0.333379
8.529050,0.389115,5.562953,0.254008
9.028823,0.204031,4.594035,0.336097
9.032325,0.371618,7.032118,0.352226
9.038074,0.209966,6.269716,0.385341
9.066059,0.330757,5.524319,0.365079
9.068299,0.371703,6.437733,0.390917
9.087644,0.238431,7.040289,0.250836
9.093043,0.308260,7.066086,0.382681
9.108853,0.385934,5.334813,0.321080
9.115229,0.360823,6.486026,0.319385
9.217136,0.284023,5.315164,0.286386
9.246725,0.317206,6.560547,0.268813
9.251525,0.338179,6.522152,0.291758
9.280111,0.334144,7.744344,0.387392
9.336317,0.269215,6.265023,0.347726
9.357882,0.257379,6.369352,0.383303
9.361554,0.285764,7.521965,0.271122
9.376208,0.280581,6.778370,0.381300
9.406537,0.251886,5.281442,0.362371
9.481214,0.286264,6.723379,0.354042
9.481972,0.229678,6.409400,0.370947
9.534242,0.390278,6.100811,0.358708
9.553605,0.389916,5.812854,0.257712
9.568766,0.304970,7.005126,0.380614
9.571270,0.300740,6.177158,0.317093
9.582928,0.350830,6.701721,0.290051
9.639148,0.327957,7.194084,0.347777
9.677122,0.336615,6.979836,0.345809
9.728063,0.264551,6.726105,0.256716
9.748305,0.336674,5.143043,0.373961
9.797455,0.229958,7.190525,0.262437
9.798764,0.357125,6.842610,0.275283
9.878416,0.378406,6.436544,0.303703
10.019954,0.346111,6.330753,0.373693
10.024765,0.359427,6.726080,0.334035
10.033702,0.289066,7.439928,0.326651
10.075321,0.329692,6.394933,0.327780
10.171063,0.255585,7.188701,0.345385
10.252824,0.206527,6.091485,0.355064
10.257894,0.254892,6.737337,0.289340
10.312544,0.399986,6.748949,0.288284
10.475151,0.355040,7.979241,0.325415
10.528387,0.272374,7.229599,0.382454
10.670113,0.367820,6.859989,0.381209
10.793068,0.235183,7.271334,0.294275
11.285152,0.363755,8.671747,0.377351
