logMstar,err_logMstar,logMBH,err_logMBH
7.730229,0.365216,4.737958,0.258534
8.390198,0.279996,5.510535,0.387302
8.463431,0.205006,5.454187,0.389398
8.596691,0.291652,5.675348,0.273069
8.606328,0.315671,4.144454,0.349280
8.740488,0.341439,6.548927,0.284554
8.795986,0.263957,5.205141,0.347949
8.810940,0.251801,5.723096,0.384339
8.841420,0.355736,4.557850,0.262035
8.894290,0.341700,5.506918,0.306560
9.041406,0.288186,5.135584,0.280871
9.083821,0.330573,6.516694,0.382909
9.098173,0.352931,5.066676,0.344381
9.103642,0.327034,5.455061,0.360502
9.129486,0.303048,6.460521,0.380875
9.129640,0.374299,5.130329,0.304323
9.235777,0.212090,5.844264,0.297047
9.275552,0.347032,6.350542,0.329267
9.281598,0.250918,5.136912,0.269064
9.285123,0.363646,5.496114,0.258977
9.297161,0.273046,6.164919,0.260713
9.358042,0.255997,5.737399,0.312584
9.361174,0.263065,6.032582,0.300077
9.474670,0.325246,6.076544,0.366905
9.495357,0.250841,4.852663,0.302308
9.497367,0.269227,6.838816,0.300916
9.522599,0.285105,6.127924,0.320453
9.543470,0.230239,5.708438,0.253010
9.563673,0.394080,5.870263,0.337120
9.590642,0.378052,6.531404,0.292099
9.616944,0.360315,6.250178,0.328587
9.620664,0.340721,6.111580,0.319531
9.638550,0.315363,6.435220,0.376023
9.657153,0.393586,7.085533,0.391150
9.702617,0.271252,6.218526,0.254883
9.713916,0.332011,7.680131,0.398052
9.772511,0.232151,6.581461,0.303665
9.828549,0.238985,6.229230,0.276743
9.862717,0.250978,6.806515,0.316903
9.888842,0.299860,6.114363,0.311831
9.926376,0.318576,5.352773,0.350840
9.931099,0.388203,7.137509,0.334191
9.977760,0.361049,7.729267,0.384961
10.055129,0.396998,7.003082,0.306111
10.090022,0.204229,6.987455,0.336661
10.212091,0.294585,6.414530,0.344361
10.328536,0.246761,7.462115,0.263844
10.394923,0.262059,6.112778,0.325211
10.421826,0.380633,7.172594,0.355353
10.458664,0.238861,7.136172,0.272162
10.573522,0.303184,6.795392,0.303074
10.578287,0.231687,7.150456,0.298225
10.634699,0.373346,7.163616,0.312477
