logMstar,err_logMstar,logMBH,err_logMBH
7.469538,0.242763,5.126162,0.391768
8.216688,0.294281,5.615980,0.289276
8.262845,0.273457,5.401394,0.252676
8.569980,0.294939,5.501934,0.272073
8.706252,0.251703,5.630770,0.374677
8.711808,0.215850,5.687143,0.375072
8.791891,0.240987,5.672890,0.335185
9.016809,0.238976,4.923746,0.390976
9.028385,0.313000,7.187876,0.383845
9.142923,0.242705,4.604566,0.333526
9.151790,0.243912,5.630688,0.312467
9.167977,0.370019,6.649889,0.341233
9.320182,0.377910,5.288325,0.328734
9.327634,0.231945,5.721183,0.285081
9.372918,0.202771,5.398644,0.362548
9.492605,0.388709,5.531928,0.325169
9.639663,0.253421,6.890412,0.266604
9.678618,0.289566,6.760415,0.393667
9.761437,0.299852,5.947875,0.350862
9.782857,0.206820,6.142711,0.331637
9.880511,0.226178,6.588753,0.274299
10.136533,0.310834,6.513874,0.365569
10.220169,0.320178,7.428346,0.317935
10.459248,0.393833,6.003355,0.387314
10.472311,0.327247,7.103382,0.341615
10.496147,0.312680,6.830212,0.324770
10.523081,0.238881,7.116949,0.261049
