logMstar,err_logMstar,logMBH,err_logMBH
8.402262,0.341957,4.998217,0.367252
8.632741,0.299691,4.770993,0.320976
8.651359,0.369678,4.806219,0.355536
8.766004,0.344697,5.337283,0.256495
8.809250,0.226072,5.970272,0.304248
8.953271,0.318706,4.985131,0.287231
9.066224,0.222822,6.176149,0.308163
9.077677,0.273072,6.429891,0.367023
9.078772,0.324613,3.971577,0.336340
9.081756,0.330822,6.764024,0.266802
9.083252,0.314156,6.840704,0.349115
9.112323,0.391774,6.099640,0.386101
9.131376,0.236561,6.315663,0.279958
9.218050,0.266639,5.630043,0.383122
9.251624,0.266812,6.505642,0.263885
9.335177,0.225369,6.114886,0.280762
9.360341,0.281246,5.541016,0.290243
9.390785,0.344467,5.744037,0.292917
9.462735,0.318194,6.554531,0.269059
9.463236,0.296042,5.114308,0.341413
9.464323,0.236374,7.601280,0.373685
9.594019,0.331672,5.582680,0.324839
9.620471,0.308820,6.768513,0.307005
9.633181,0.383138,5.168437,0.377970
9.690017,0.211110,6.908172,0.365806
9.704353,0.283381,6.847513,0.264041
9.731914,0.349336,6.465025,0.308319
9.765852,0.226291,6.117422,0.278864
9.809199,0.250553,6.712185,0.266432
9.846397,0.366341,7.194375,0.304487
9.933395,0.235102,7.000983,0.372614
9.945068,0.386693,5.649584,0.285759
10.016905,0.306154,6.281197,0.280459
10.063030,0.238934,5.548433,0.331666
10.143145,0.341334,6.523499,0.310818
10.372575,0.235612,6.033500,0.350936
10.487689,0.233688,6.943518,0.320244
10.587949,0.256719,7.071602,0.308637
10.739982,0.319578,8.095507,0.281285
10.965275,0.332992,8.236756,0.272433
11.157454,0.361064,8.058185,0.327440
11.433025,0.278805,7.834367,0.372488
