logMstar,err_logMstar,logMBH,err_logMBH
7.793586,0.256508,4.004965,0.287865
7.970807,0.200054,3.700550,0.324930
8.499867,0.347158,5.571405,0.341948
8.559794,0.392218,5.067081,0.272355
8.736165,0.292527,6.307010,0.365507
8.847756,0.381591,5.965892,0.399210
9.030194,0.346554,6.599782,0.282429
9.131147,0.397320,5.522519,0.360986
9.143321,0.373136,5.656856,0.382074
9.170751,0.241356,6.370772,0.397481
9.178483,0.312236,5.919318,0.267783
9.197358,0.366583,6.609929,0.347873
9.310782,0.297012,5.210562,0.344912
9.311951,0.218584,5.971905,0.336782
9.427981,0.252969,5.953527,0.357821
9.460566,0.355523,5.994479,0.373357
9.483403,0.272255,5.455323,0.383653
9.488813,0.378021,6.232037,0.360146
9.548012,0.271890,5.914483,0.300595
9.616359,0.259743,7.383938,0.332010
9.658065,0.378756,7.096305,0.303033
9.669549,0.270465,6.160114,0.395599
9.718021,0.390407,6.463074,0.349384
9.820524,0.334261,6.564776,0.367137
9.931213,0.398232,8.211868,0.396172
9.967591,0.332252,7.520808,0.347108
9.999125,0.202821,5.795591,0.339316
10.025622,0.251680,6.264635,0.255840
10.181407,0.284829,7.218210,0.267024
10.237793,0.232141,7.637132,0.345893
10.250901,0.364094,7.830968,0.344066
10.259189,0.230980,6.858336,0.305194
10.408875,0.220214,7.598396,0.361204
10.417633,0.246628,8.034876,0.358360
10.419339,0.315036,8.351466,0.257046
10.772652,0.261773,6.742120,0.319691
11.024125,0.280209,7.123517,0.388312
