logMstar,err_logMstar,logMBH,err_logMBH
8.088383,0.215793,5.556022,0.283012
8.696830,0.269169,5.106297,0.263020
9.013688,0.355130,6.212703,0.359514
9.061439,0.249602,6.114322,0.368805
9.075985,0.302810,5.664775,0.366020
9.134335,0.249235,5.613955,0.260249
9.202131,0.321505,6.898116,0.264943
9.235232,0.364273,6.699699,0.346299
9.271702,0.394276,6.212222,0.253089
9.328974,0.368015,6.077017,0.270786
9.353414,0.351219,5.110904,0.382154
9.390208,0.287716,5.400174,0.370907
9.390277,0.261266,6.079118,0.267276
9.474676,0.264936,6.699457,0.285502
9.523360,0.237619,6.902458,0.389512
9.796484,0.354957,7.459788,0.382334
9.805310,0.271342,6.231799,0.287536
9.873118,0.257067,6.237481,0.335901
9.908617,0.231707,6.320409,0.280400
9.967878,0.289529,7.439163,0.385337
9.980475,0.204579,6.346594,0.361262
10.035636,0.291520,6.416812,0.275010
10.045488,0.283236,6.901758,0.281760
10.055217,0.286867,7.117307,0.306809
10.056799,0.256209,7.150875,0.384517
10.284205,0.337180,6.408978,0.376754
10.296689,0.256909,6.802125,0.297956
10.397508,0.251760,7.441627,0.288953
10.400129,0.250132,7.936582,0.322146
10.531370,0.259815,7.763932,0.253614
10.952764,0.299721,7.781180,0.336869
11.377414,0.254558,8.128967,0.344363
