logMstar,err_logMstar,logMBH,err_logMBH
7.984159,0.277929,5.117924,0.390867
8.154205,0.292511,4.781752,0.379672
8.308223,0.318851,6.740068,0.306365
8.448144,0.205869,4.702383,0.337801
8.597814,0.326491,6.754409,0.332058
8.611335,0.319485,6.706270,0.350470
8.614700,0.249753,5.496639,0.382180
8.741448,0.212257,5.447603,0.378960
8.758882,0.363179,5.056748,0.251293
8.786474,0.232597,5.632354,0.252115
8.824588,0.376290,6.650850,0.302713
8.852226,0.310289,4.927647,0.370609
9.005167,0.275845,5.700109,0.372432
9.021915,0.251772,6.137654,0.285776
9.042423,0.386497,6.086219,0.384232
9.066824,0.262847,6.536457,0.253997
9.144915,0.220417,5.957919,0.391369
9.182207,0.209285,6.049487,0.341119
9.219385,0.249952,6.465754,0.280478
9.221326,0.225894,5.655465,0.381710
9.253622,0.357795,4.809150,0.353159
9.285695,0.265889,6.124635,0.291669
9.293630,0.315878,6.128772,0.395199
9.310794,0.353138,6.732560,0.293625
9.316602,0.371397,5.875499,0.352917
9.319516,0.377207,6.417071,0.362433
9.396818,0.264679,6.472273,0.309054
9.411575,0.360656,6.438753,0.258029
9.415359,0.292779,6.775257,0.306736
9.469867,0.313092,6.861617,0.321245
9.473377,0.389320,5.573626,0.250093
9.483324,0.342075,4.493686,0.395716
9.486967,0.294741,6.679399,0.372565
9.539919,0.276020,6.932375,0.319707
9.571576,0.217525,6.745167,0.301848
9.613168,0.365563,6.696586,0.310693
9.665462,0.200644,7.809773,0.336115
9.685638,0.271256,6.339267,0.273263
9.693663,0.369482,6.165458,0.301770
9.714023,0.397094,5.797060,0.309648
9.736869,0.359616,5.159534,0.307775
9.745245,0.398116,6.803229,0.250867
9.766505,0.297491,7.076375,0.377277
9.790643,0.306546,7.785350,0.301360
9.825286,0.205238,5.773660,0.310412
9.857564,0.271772,6.201671,0.272626
9.973545,0.363490,6.584289,0.370577
10.090425,0.220485,8.258672,0.255941
10.092965,0.239253,6.833196,0.268921
10.194179,0.325745,7.324456,0.376835
10.243109,0.394452,6.327503,0.324528
10.288304,0.348314,6.118288,0.269878
10.295946,0.283381,6.424257,0.361881
10.395577,0.399712,8.513179,0.361942
10.438730,0.336962,7.672880,0.377661
10.468871,0.252932,8.285814,0.355043
10.478588,0.246581,7.536624,0.358610
10.761548,0.202587,8.484887,0.279747
