logMstar,err_logMstar,logMBH,err_logMBH
8.005309,0.258263,4.620968,0.392283
8.006019,0.381505,5.597849,0.382459
8.213169,0.208751,5.303628,0.395552
8.323674,0.367611,3.203433,0.317998
8.559427,0.237941,5.636501,0.250252
8.634685,0.386744,6.287891,0.392496
8.775168,0.316819,5.661688,0.254747
8.897265,0.270946,6.428160,0.275122
8.989322,0.298246,5.909312,0.261896
8.990954,0.239701,5.932209,0.268037
9.117786,0.359939,6.504021,0.356389
9.144642,0.281664,6.136009,0.252246
9.148728,0.358893,5.755833,0.373533
9.150693,0.345226,6.331272,0.314050
9.169411,0.322070,5.554763,0.274867
9.176597,0.364845,5.731477,0.331972
9.187718,0.317028,7.099327,0.353783
9.218802,0.254379,6.695644,0.300769
9.244132,0.332742,4.492919,0.332193
9.248865,0.249890,6.089616,0.274557
9.255534,0.339898,5.535791,0.344055
9.280801,0.360634,5.821136,0.388295
9.388039,0.347705,6.532725,0.329240
9.393133,0.236654,6.869802,0.286772
9.405566,0.374338,6.552761,0.324137
9.471700,0.311435,5.401902,0.348454
9.519333,0.336137,6.595698,0.262124
9.523730,0.392191,6.126129,0.355431
9.550606,0.374909,6.969436,0.392596
9.554991,0.376089,7.309584,0.366707
9.557229,0.341002,6.091813,0.387566
9.633695,0.312686,5.790360,0.330662
9.635673,0.309016,6.319430,0.379328
9.797384,0.332249,6.686677,0.399173
9.803563,0.307433,6.021835,0.347906
9.813761,0.350884,6.491429,0.279229
9.815337,0.379410,5.843658,0.311261
9.894170,0.233798,7.245494,0.319190
9.938852,0.284012,5.152329,0.378383
9.948250,0.310393,5.576789,0.292680
9.964974,0.201510,5.715748,0.398092
9.982507,0.304331,6.133274,0.371203
9.994178,0.275322,7.469493,0.360515
10.072122,0.301200,7.720358,0.299166
10.097503,0.248347,5.536723,0.355116
10.136475,0.206837,6.247007,0.261939
10.202188,0.305181,5.927379,0.325791
10.273145,0.374916,6.281648,0.329045
10.339284,0.283964,6.863372,0.376267
10.341258,0.352616,6.510269,0.296245
10.390871,0.257232,7.546193,0.387216
10.652009,0.384557,6.668296,0.269214
10.711673,0.312745,8.045723,0.293229
10.892991,0.296470,7.307321,0.282070
10.957908,0.327719,7.855843,0.379893
