logMstar,err_logMstar,logMBH,err_logMBH
8.046462,0.296657,4.916986,0.380312
8.296951,0.313685,4.983390,0.341952
8.376506,0.359226,6.470497,0.331279
8.486509,0.256220,4.189172,0.377119
8.710181,0.257747,5.113958,0.296711
8.725441,0.350821,5.335388,0.382847
9.024950,0.343904,5.490588,0.302380
9.077173,0.337293,7.502757,0.320569
9.090363,0.362238,4.767308,0.253198
9.121969,0.270360,5.665437,0.344348
9.134491,0.373162,7.157039,0.317424
9.187810,0.224735,6.006287,0.365048
9.416185,0.224106,6.227712,0.349299
9.478724,0.348618,5.433144,0.297160
9.512390,0.220503,7.135077,0.352184
9.551464,0.398336,6.387638,0.309120
9.605860,0.235448,6.134786,0.360694
9.680378,0.319816,6.893100,0.347293
9.693483,0.347119,7.578642,0.364439
9.779994,0.359491,6.324199,0.335336
9.818198,0.345648,7.999415,0.296431
9.974073,0.298973,6.559861,0.313389
10.015443,0.230701,6.885145,0.375441
10.093263,0.281121,8.096076,0.308182
10.223250,0.211735,7.180914,0.302686
10.304320,0.395924,6.394112,0.313362
10.321354,0.319054,5.553788,0.358833
10.324805,0.225645,6.934896,0.314898
10.372898,0.224912,7.199778,0.283010
10.942807,0.338253,9.087028,0.338365
10.996343,0.320829,8.580721,0.368569
11.159858,0.264694,8.202735,0.321445
