logMstar,err_logMstar,logMBH,err_logMBH
7.191839,0.205026,3.518426,0.377173
8.145247,0.341387,4.559608,0.346705
8.488044,0.253744,5.381530,0.277467
8.501005,0.264472,4.721480,0.260719
8.594356,0.214327,4.749037,0.371252
8.596067,0.223043,5.608716,0.289983
8.627482,0.324010,4.706626,0.268697
8.861568,0.282479,6.155060,0.391789
8.911796,0.201008,5.128366,0.366634
8.913681,0.210293,4.616833,0.275737
8.920989,0.231129,4.384790,0.273611
8.934862,0.351545,5.734569,0.300380
8.988615,0.321300,5.932149,0.253629
9.016771,0.339367,5.577779,0.285038
9.043356,0.248955,6.252199,0.342788
9.184129,0.339785,6.594596,0.383723
9.190562,0.295719,6.354447,0.315403
9.302828,0.227874,5.646998,0.331701
9.303997,0.227121,5.747276,0.293132
9.314688,0.229817,5.999795,0.327932
9.354311,0.249880,5.909895,0.272463
9.419158,0.274853,6.263236,0.372111
9.494565,0.356334,6.156041,0.348430
9.620323,0.280896,6.719634,0.331486
9.671027,0.382462,6.686164,0.278591
9.711566,0.306280,6.720426,0.284928
9.723135,0.394755,5.881589,0.341575
9.731461,0.352419,6.523180,0.284284
9.805383,0.236988,6.928169,0.366088
9.878848,0.232846,7.317273,0.275189
9.931049,0.384926,6.307296,0.253906
9.972705,0.322923,6.742593,0.275504
9.973098,0.331986,7.274868,0.262732
9.974890,0.242429,7.849511,0.365792
10.058918,0.378460,7.369047,0.305449
10.102510,0.324224,7.221640,0.278516
10.124430,0.302459,6.861602,0.336926
10.148869,0.286229,7.388486,0.280901
10.180100,0.306289,6.814683,0.279789
10.193336,0.304979,7.348284,0.396350
10.257518,0.205944,7.464390,0.311401
10.258156,0.390603,7.378926,0.375237
10.350613,0.283095,7.686993,0.319138
10.449367,0.209857,7.582678,0.317767
10.456174,0.247858,7.237212,0.272977
10.510909,0.330707,8.877797,0.318919
10.547067,0.390815,6.892487,0.285968
10.589520,0.309852,5.927458,0.374975
10.721225,0.255101,7.454595,0.352240
11.210061,0.283235,8.822911,0.358143
