logMstar,err_logMstar,logMBH,err_logMBH
7.915502,0.305797,4.500156,0.324656
8.027837,0.389962,3.209319,0.393574
8.519450,0.214612,4.484501,0.288353
8.602729,0.327403,5.528113,0.364766
8.641252,0.384947,4.975986,0.339010
8.704144,0.379859,4.210063,0.350032
8.741687,0.215741,4.978240,0.287591
8.765429,0.392601,5.458149,0.394721
8.770715,0.377970,5.263363,0.340113
8.808429,0.368798,5.355380,0.337891
8.845817,0.228744,5.011774,0.357184
8.867080,0.304558,5.320204,0.371436
8.914297,0.366316,5.254881,0.280631
8.919938,0.230058,5.065638,0.359318
8.970105,0.213657,4.809517,0.285227
8.999713,0.348206,5.593048,0.327011
9.018075,0.265119,5.808338,0.388048
9.091697,0.264107,5.497689,0.326293
9.097892,0.274733,6.446293,0.262185
9.105589,0.289250,6.636102,0.326856
9.186846,0.331534,5.409294,0.291145
9.193776,0.360661,5.698286,0.327269
9.241983,0.325638,5.648575,0.291757
9.249237,0.385970,5.187983,0.308141
9.264802,0.258481,6.346569,0.314409
9.320598,0.311706,5.938147,0.386964
9.388253,0.353790,6.344097,0.259083
9.432375,0.324582,5.039464,0.347939
9.508037,0.347520,6.126452,0.383574
9.555466,0.222194,6.072536,0.257430
9.559088,0.305665,6.399613,0.260343
9.561214,0.381571,6.510990,0.357131
9.565479,0.259484,6.268487,0.298872
9.612077,0.371415,5.942624,0.290521
9.643828,0.260793,5.542497,0.298299
9.737503,0.289090,5.910561,0.323028
9.812350,0.362573,7.470366,0.300117
9.842742,0.398908,6.696359,0.281500
9.842881,0.240176,8.783071,0.263725
9.867840,0.276015,7.423632,0.357173
9.953435,0.292805,5.677397,0.284572
10.042746,0.244154,6.741571,0.385848
10.123761,0.348569,8.153587,0.333066
10.173441,0.271147,5.735446,0.296967
10.176838,0.370711,6.358039,0.376163
10.237627,0.244821,7.476985,0.314712
10.514566,0.345952,7.074894,0.303658
10.517861,0.203134,8.198940,0.380659
10.590907,0.273214,7.276794,0.368363
10.650776,0.200851,6.947066,0.325823
10.868721,0.275047,7.370073,0.338916
