logMstar,err_logMstar,logMBH,err_logMBH
8.615031,0.209725,6.741605,0.398910
8.634065,0.392187,4.388139,0.263034
8.729164,0.226805,6.356986,0.359555
8.746116,0.242920,4.258029,0.315616
8.834748,0.270991,5.477439,0.306872
8.941910,0.221960,5.870470,0.394646
8.942350,0.388329,7.238007,0.327002
8.957095,0.246186,6.132997,0.299595
9.015275,0.384403,6.123154,0.289292
9.036654,0.243720,6.379591,0.285507
9.039929,0.215746,5.699090,0.295407
9.040907,0.241243,5.292080,0.391227
9.097573,0.260823,5.142600,0.271086
9.119476,0.328118,5.856596,0.354364
9.230188,0.329543,6.595927,0.359449
9.230895,0.271208,6.308930,0.384933
9.247231,0.326186,6.402513,0.379005
9.299387,0.278113,6.570979,0.352157
9.340071,0.275938,5.551797,0.267290
9.368096,0.231476,5.615843,0.348039
9.370151,0.324814,6.629192,0.320682
9.382353,0.375070,6.507136,0.308256
9.485871,0.297019,5.288507,0.261045
9.584452,0.218737,6.326574,0.350385
9.668484,0.230426,6.587518,0.302400
9.704976,0.235954,4.580449,0.352061
9.706276,0.241988,6.654165,0.276202
9.766077,0.370414,6.429554,0.297669
9.793448,0.320530,6.865491,0.359061
9.869412,0.214604,6.622624,0.384686
9.902815,0.233882,7.391151,0.318151
9.906542,0.327570,7.917286,0.380142
9.976313,0.369036,7.278188,0.290377
10.156127,0.281044,7.832755,0.315903
10.165629,0.251333,6.152359,0.306448
10.189081,0.369624,6.849091,0.317039
10.220961,0.236558,6.380900,0.301963
10.242514,0.398394,6.651063,0.347890
10.420452,0.228014,7.749795,0.382284
10.495831,0.363568,8.665859,0.370029
10.947291,0.232522,7.822165,0.338798
