logMstar,err_logMstar,logMBH,err_logMBH
7.758778,0.362538,5.438507,0.296836
7.972228,0.272713,4.628376,0.338970
8.024089,0.294024,5.592811,0.255449
8.146205,0.206975,4.900861,0.299509
8.352477,0.340548,4.407220,0.252414
8.509673,0.243535,5.359944,0.359038
8.521894,0.352377,4.810305,0.376419
8.559085,0.301597,5.909760,0.373668
8.702634,0.269320,4.327070,0.351443
8.788760,0.301449,5.780279,0.296022
8.812838,0.272609,6.163719,0.260839
8.901962,0.216166,5.569276,0.349263
8.952230,0.228301,7.301887,0.274340
8.994243,0.322750,6.746738,0.287762
9.000179,0.339518,5.984955,0.285395
9.014725,0.336255,4.913858,0.340978
9.019496,0.348071,5.140820,0.399646
9.229169,0.391300,5.936402,0.272447
9.362926,0.206273,6.960161,0.280285
9.409751,0.279211,6.726452,0.361201
9.445516,0.262863,7.712992,0.353874
9.465836,0.280841,6.830828,0.312205
9.467520,0.200483,6.461031,0.357643
9.468542,0.390012,6.473192,0.266041
9.469670,0.232107,7.306506,0.314319
9.564229,0.374191,6.176644,0.254560
9.570276,0.385423,7.472062,0.368148
9.580656,0.309827,6.763468,0.396540
9.582289,0.324595,6.950328,0.298397
9.625542,0.251368,5.896668,0.361808
9.635263,0.229790,6.975437,0.316071
9.665188,0.216674,6.724710,0.392415
9.672945,0.343983,6.161622,0.278068
9.792364,0.274984,7.147368,0.272337
9.831801,0.257512,7.040474,0.382079
9.859387,0.324037,6.749927,0.385555
9.957844,0.201265,7.970237,0.352943
10.059313,0.314337,6.538979,0.254587
10.084596,0.300068,8.740397,0.251769
10.105808,0.305762,7.165061,0.374027
10.106389,0.351489,7.081865,0.391139
10.119107,0.201196,6.373702,0.397533
10.141763,0.208125,7.777287,0.313463
10.239837,0.367720,6.312337,0.361886
10.254433,0.348432,6.477259,0.284585
10.327335,0.231511,7.905236,0.296732
10.345453,0.326169,7.678486,0.250355
10.357300,0.353945,8.101631,0.276633
10.447478,0.294810,8.615137,0.384448
10.549121,0.287332,7.679095,0.390305
10.744457,0.307426,7.587791,0.250444
11.141206,0.244645,9.028536,0.325911
