logMstar,err_logMstar,logMBH,err_logMBH
8.096196,0.374381,4.358306,0.294645
8.127970,0.294477,4.005217,0.316159
8.252937,0.317573,3.627639,0.385061
8.415036,0.236720,4.817739,0.338193
8.451741,0.396656,5.477790,0.325031
8.527850,0.266395,4.964136,0.261307
8.588303,0.372257,4.344572,0.289138
8.763390,0.374537,3.852493,0.299893
8.837883,0.368476,6.515867,0.301140
8.895750,0.230386,4.910863,0.275012
8.896933,0.295344,5.717045,0.365182
8.932239,0.355043,6.168979,0.352931
8.944141,0.304870,5.180220,0.373425
8.985106,0.291410,5.835277,0.284731
9.011212,0.346386,4.404699,0.331468
9.023169,0.317810,6.388503,0.298235
9.031691,0.202299,4.895642,0.374871
9.051429,0.389147,5.726138,0.269880
9.052631,0.368294,5.331974,0.274952
9.184582,0.325951,5.400299,0.292819
9.187106,0.239033,5.992255,0.313578
9.205553,0.229439,5.437644,0.392513
9.209070,0.392713,5.899444,0.378020
9.226791,0.219732,5.934193,0.250818
9.257821,0.303079,5.988500,0.285474
9.343137,0.239055,5.820977,0.309702
9.386619,0.226227,5.369529,0.370314
9.437897,0.204427,5.584064,0.332627
9.465380,0.259397,7.435338,0.300739
9.486040,0.387701,7.074935,0.351476
9.488895,0.373977,5.361674,0.294013
9.559231,0.210143,5.005752,0.287688
9.656334,0.204042,6.263053,0.312718
9.659447,0.351493,6.485903,0.315730
9.674595,0.281394,6.648926,0.329372
9.700398,0.366205,6.315586,0.370033
9.801964,0.383010,6.397402,0.286967
9.869472,0.325592,6.149909,0.260305
9.900576,0.339305,6.594102,0.379556
9.901163,0.399057,7.048528,0.329817
9.950736,0.246727,7.010501,0.275404
10.002525,0.267092,7.676499,0.395155
10.027915,0.346823,7.315087,0.317346
10.097692,0.282557,7.719862,0.379633
10.099835,0.234369,6.933917,0.359936
10.120393,0.287609,7.649417,0.340113
10.208019,0.382455,6.854977,0.367360
10.238208,0.373310,7.427280,0.315929
10.238630,0.303175,6.648705,0.272147
10.263281,0.229897,7.096370,0.313280
10.301300,0.329126,7.483550,0.364162
10.308903,0.363939,8.100470,0.286699
10.478404,0.348288,7.264728,0.351456
10.491869,0.222323,7.763237,0.301191
10.566879,0.210977,7.492979,0.264456
10.629158,0.308652,8.510419,0.350686
11.169297,0.312827,7.935621,0.250780
11.311437,0.274425,8.501233,0.328438
