logMstar,err_logMstar,logMBH,err_logMBH
7.915631,0.358627,4.996829,0.273626
8.076014,0.347125,5.165627,0.285582
8.313870,0.371308,5.195278,0.313357
8.507009,0.304240,5.669965,0.269447
8.556746,0.333683,6.495146,0.251523
8.557575,0.266106,4.921102,0.390890
8.580172,0.241259,4.651120,0.281420
8.842190,0.337160,5.784668,0.344783
8.892639,0.212322,6.433059,0.365509
8.960703,0.340498,6.156620,0.311193
8.973123,0.257724,5.601438,0.333210
9.000434,0.290936,7.015823,0.296954
9.075443,0.218349,6.819068,0.331956
9.161451,0.210395,6.276031,0.396620
9.189588,0.355283,5.990819,0.285588
9.229639,0.306431,6.540836,0.275642
9.298275,0.300839,5.648554,0.339078
9.303925,0.358778,5.764313,0.265001
9.309099,0.364166,6.374749,0.366875
9.309790,0.398969,5.292691,0.310581
9.359297,0.240223,6.652583,0.390165
9.491978,0.357587,5.992228,0.253496
9.551384,0.394835,6.607933,0.368641
9.553596,0.248174,6.365479,0.370337
9.602218,0.260820,6.712641,0.360400
9.603151,0.290767,6.422276,0.276675
9.622889,0.258598,6.929518,0.292420
9.649321,0.286712,5.249851,0.389753
9.651881,0.262548,6.692788,0.266433
9.652350,0.242094,7.626843,0.333561
9.652912,0.309540,7.931817,0.395220
9.668232,0.353387,7.198154,0.329992
9.691221,0.339029,6.098616,0.252464
9.714550,0.336509,7.396509,0.349364
9.732969,0.203254,6.301792,0.273627
9.826851,0.363270,6.316780,0.389127
9.849537,0.254776,8.439733,0.360139
9.923631,0.245754,5.744113,0.358613
9.983400,0.327959,7.099064,0.304973
9.992933,0.268748,6.772126,0.365582
10.085301,0.287399,6.355144,0.315111
10.099966,0.389698,5.660907,0.306200
10.266594,0.364333,7.385629,0.388118
10.333113,0.245363,7.555990,0.258844
10.372482,0.371902,8.208830,0.276969
10.414812,0.253117,8.679734,0.367303
10.979513,0.269447,7.666716,0.250942
