logMstar,err_logMstar,logMBH,err_logMBH
8.166868,0.366333,5.007856,0.288778
8.350411,0.366528,5.347542,0.256741
8.466604,0.365668,6.684772,0.382031
8.522523,0.244853,5.433496,0.392463
8.527745,0.204815,5.466911,0.364694
8.812025,0.272405,4.756075,0.381125
8.865676,0.330143,6.263551,0.367444
8.900098,0.264897,5.153490,0.324890
8.938157,0.396968,5.145743,0.282444
8.939181,0.238887,4.905751,0.343868
9.025285,0.221560,5.396856,0.349236
9.027666,0.309851,4.121175,0.286500
9.054177,0.230009,4.602952,0.374713
9.087505,0.257549,5.212509,0.354366
9.097152,0.278908,5.515948,0.338080
9.125494,0.217897,6.188757,0.259882
9.141563,0.263384,5.341679,0.253410
9.170050,0.282062,5.356330,0.283460
9.245610,0.229274,6.598558,0.300179
9.280955,0.389276,6.275991,0.378802
9.314874,0.252235,5.393545,0.312754
9.318788,0.320997,5.759938,0.379610
9.355605,0.312929,5.798932,0.252944
9.369007,0.220569,4.616303,0.305355
9.376272,0.297847,5.494867,0.367142
9.404893,0.200382,5.692521,0.369163
9.447238,0.373166,6.455861,0.397663
9.454788,0.321673,5.295628,0.282535
9.498961,0.325557,6.920651,0.318035
9.558266,0.259904,6.152878,0.373397
9.564878,0.386304,4.679997,0.377503
9.602099,0.227421,5.802568,0.251527
9.683785,0.390478,6.665034,0.283214
9.687512,0.280368,7.611437,0.305235
9.690665,0.308292,5.886120,0.356808
9.722260,0.319053,6.885117,0.363308
9.752366,0.304787,6.264872,0.333163
9.754814,0.209475,8.121905,0.308148
9.776939,0.228292,6.542193,0.288650
9.798249,0.238775,5.977883,0.269678
9.815899,0.318873,6.117794,0.262543
9.822468,0.356085,7.687027,0.279055
9.935483,0.211782,6.163588,0.366183
9.948307,0.206845,6.518641,0.381636
9.992083,0.371352,7.822812,0.287326
10.037786,0.376670,8.222677,0.259577
10.175950,0.390083,7.020743,0.256284
10.293875,0.266145,7.690660,0.398941
10.302496,0.372285,7.317556,0.396499
10.340130,0.244526,7.203629,0.325715
10.372068,0.225136,6.754183,0.379650
10.439578,0.224447,7.103638,0.250673
10.932284,0.370915,7.159484,0.284063
10.940131,0.392745,8.153557,0.375566
11.079960,0.393010,6.894713,0.262028
