logMstar,err_logMstar,logMBH,err_logMBH
8.068575,0.377669,4.925736,0.254374
8.354431,0.228672,3.698275,0.360940
8.499214,0.317383,5.134733,0.289118
8.522654,0.221818,4.391121,0.393241
8.555578,0.367548,3.948858,0.260081
8.610026,0.320828,4.542774,0.285369
8.834890,0.356906,5.587404,0.263721
8.886852,0.283607,3.939528,0.261581
8.955539,0.340174,5.021901,0.329294
8.996083,0.334838,5.341920,0.317947
9.032858,0.217438,5.245209,0.321654
9.114102,0.379599,5.291221,0.381106
9.162753,0.378123,6.504970,0.331556
9.397268,0.259169,7.446425,0.300475
9.456362,0.347972,5.805353,0.346484
9.550138,0.308429,6.420601,0.274142
9.552710,0.389886,6.430901,0.336160
9.553008,0.219000,5.348266,0.383337
9.565643,0.304681,6.256027,0.290688
9.872313,0.373273,7.263034,0.354465
9.900755,0.346161,6.671436,0.339464
9.923626,0.376247,5.820208,0.323343
10.028904,0.380412,6.968098,0.363434
10.176176,0.212646,7.817771,0.301191
10.320619,0.290895,7.514947,0.318681
10.349234,0.254771,6.750674,0.275890
10.607574,0.328531,6.314534,0.289511
10.640084,0.295492,8.096626,0.311459
