logMstar,err_logMstar,logMBH,err_logMBH
8.067833,0.359955,4.488811,0.310172
8.134366,0.389500,5.303829,0.250552
8.428865,0.242591,5.721401,0.375617
8.456253,0.302382,5.322552,0.355285
8.547672,0.393188,5.172951,0.320974
8.593466,0.297516,6.141360,0.386277
8.615192,0.234989,5.293795,0.251521
8.629966,0.381446,5.216905,0.381029
8.678793,0.351402,4.852089,0.267873
8.728226,0.374554,6.223644,0.317493
8.767939,0.326079,5.784159,0.272691
8.785397,0.304097,4.918460,0.354672
8.921791,0.359359,5.420100,0.276892
8.964511,0.252097,6.789524,0.266503
8.992758,0.369624,5.978551,0.305923
8.999893,0.262308,6.432307,0.274259
9.054050,0.290189,6.492055,0.393183
9.079718,0.238863,7.017512,0.269217
9.087279,0.268205,5.275803,0.319223
9.154069,0.248126,6.417105,0.251172
9.173563,0.341406,7.031277,0.286402
9.178540,0.282379,7.588981,0.293851
9.253996,0.328550,5.771973,0.259750
9.289302,0.314220,6.334814,0.395758
9.313572,0.208046,6.816985,0.331946
9.335848,0.393513,7.256334,0.314492
9.393206,0.201730,5.745077,0.333586
9.395875,0.206766,5.502733,0.352085
9.426274,0.311381,6.389574,0.303515
9.473321,0.293872,7.122019,0.315212
9.481880,0.210100,7.365621,0.382215
9.541704,0.202042,6.784814,0.308789
9.601108,0.340288,6.923215,0.382715
9.623815,0.299999,6.450181,0.379289
9.624692,0.209394,7.035147,0.366066
9.760271,0.210321,6.493033,0.279532
9.764790,0.225023,6.519191,0.358655
9.778736,0.270671,7.982227,0.299207
9.793354,0.306414,6.238955,0.361263
9.821095,0.278328,6.354845,0.339878
9.861054,0.207371,6.523386,0.373142
9.946303,0.273401,6.713129,0.328379
9.959009,0.387998,6.908741,0.322725
9.994477,0.348440,7.077245,0.365221
10.030251,0.361122,7.950019,0.321929
10.093920,0.342995,7.621651,0.353201
10.121596,0.207348,7.733590,0.261716
10.183416,0.241945,6.988876,0.342947
10.218565,0.269088,6.883984,0.307367
10.278162,0.369334,8.084405,0.358535
10.292001,0.389312,8.660882,0.342118
10.420028,0.213877,7.983248,0.347478
10.432078,0.202079,7.752473,0.365731
10.940814,0.323400,7.678729,0.275203
10.978637,0.379389,8.566502,0.350592
