logMstar,err_logMstar,logMBH,err_logMBH
8.238390,0.354896,4.426643,0.367108
8.266759,0.326455,5.318516,0.329199
8.395958,0.222304,4.976967,0.375240
8.471459,0.271019,4.171823,0.264431
8.562453,0.290613,5.640638,0.338182
8.572467,0.317403,4.586739,0.374086
8.593641,0.296288,5.595117,0.273516
8.619027,0.283567,6.433273,0.352708
8.761848,0.309845,5.756253,0.382284
8.769116,0.216198,5.672717,0.390157
8.770833,0.234725,4.156062,0.339971
8.845853,0.364889,5.399347,0.266349
8.889993,0.222311,4.468768,0.329185
8.891165,0.269473,5.633135,0.316779
9.077209,0.327116,5.820001,0.268848
9.154281,0.247025,5.537523,0.274833
9.160110,0.317915,5.839008,0.296426
9.241528,0.216493,6.667129,0.300267
9.249769,0.344026,5.901158,0.294239
9.321042,0.276151,5.596700,0.276926
9.336977,0.315575,5.509710,0.322446
9.410066,0.277590,7.026424,0.330357
9.415347,0.293875,6.142048,0.290735
9.416544,0.328942,5.003651,0.287896
9.446498,0.207663,4.812014,0.364252
9.448256,0.331571,6.403869,0.373920
9.451890,0.282591,4.823532,0.356804
9.571133,0.342587,5.878610,0.382157
9.681390,0.323349,5.784080,0.364624
9.691985,0.350722,5.904453,0.395719
9.722168,0.339415,4.805703,0.344342
9.767894,0.245892,5.946124,0.301296
9.772469,0.293612,6.951330,0.399613
9.798918,0.295857,6.509095,0.275189
9.846090,0.276873,6.318488,0.332814
9.985904,0.256093,6.094603,0.394086
10.073589,0.279791,6.476459,0.264058
10.114710,0.362940,6.367052,0.347135
10.143803,0.309875,6.090493,0.363651
10.167935,0.276279,8.086627,0.354541
10.375803,0.379700,7.311727,0.363510
10.423456,0.248583,7.280427,0.287323
10.465385,0.385888,6.622358,0.333808
10.599859,0.307287,7.497959,0.347865
10.742120,0.263820,8.276491,0.288797
10.904572,0.358949,6.417576,0.295779
