logMstar,err_logMstar,logMBH,err_logMBH
7.893679,0.313045,4.992111,0.349877
7.974110,0.376856,3.862864,0.293365
8.108581,0.233267,4.556547,0.291949
8.431176,0.316338,4.660283,0.360646
8.530643,0.314915,5.708380,0.262457
8.595148,0.358964,5.149795,0.301962
8.710037,0.348171,4.123924,0.309705
8.778032,0.225018,5.390507,0.287678
8.862359,0.307131,5.699652,0.365695
8.881057,0.331005,5.483728,0.327447
8.955137,0.290096,4.491057,0.383498
9.075522,0.267288,5.410447,0.374707
9.141045,0.359610,5.604899,0.398288
9.210048,0.207047,6.635985,0.256041
9.403706,0.290891,5.260144,0.396672
9.423632,0.304148,5.445184,0.327508
9.483618,0.210574,5.917119,0.286977
9.491226,0.236295,5.805272,0.265154
9.500212,0.248569,5.087978,0.282179
9.582501,0.244173,6.753605,0.300947
9.699880,0.213789,7.067510,0.323543
9.724191,0.364040,5.920383,0.287694
9.789374,0.285549,6.520276,0.298230
9.806566,0.215667,4.935775,0.282734
9.841657,0.388952,7.380275,0.330203
9.899094,0.227206,7.051153,0.364552
9.953222,0.245096,5.929456,0.356098
10.059872,0.368285,5.538301,0.388351
10.100054,0.254841,6.624724,0.321518
10.223081,0.300997,7.228258,0.398850
10.243906,0.247772,6.692523,0.261957
10.278297,0.339760,6.516355,0.368963
10.365518,0.226037,6.728772,0.380891
10.383222,0.366102,7.550731,0.322363
10.403097,0.275861,5.966966,0.355086
10.582634,0.378447,5.480950,0.382387
10.692581,0.321833,7.852171,0.274101
