logMstar,err_logMstar,logMBH,err_logMBH
8.021746,0.263050,5.247585,0.317406
8.395436,0.271884,4.648398,0.377465
8.438335,0.392875,6.405459,0.381817
8.456274,0.348019,5.731011,0.363514
8.815798,0.293576,5.638956,0.359999
8.926675,0.291389,6.244793,0.277365
8.942299,0.331705,4.938021,0.340753
9.070523,0.324938,4.836668,0.290917
9.111407,0.296952,7.055431,0.341184
9.145078,0.328390,5.593905,0.280956
9.214354,0.231426,7.236517,0.352834
9.282606,0.340346,6.156442,0.268874
9.290713,0.375055,5.862063,0.341623
9.350402,0.378816,5.390213,0.374976
9.415034,0.256655,6.363068,0.388983
9.523756,0.204393,6.159316,0.379391
9.574362,0.399011,5.814874,0.346435
9.589578,0.392591,6.379294,0.345567
9.677965,0.372806,5.218071,0.257980
9.718436,0.286035,5.938135,0.279226
9.910074,0.298074,6.696553,0.293763
9.926375,0.211134,7.483662,0.363452
9.989080,0.319124,6.260132,0.343191
10.078881,0.374929,8.240705,0.303604
10.122102,0.230840,7.964417,0.279377
10.263904,0.370064,6.458457,0.396741
10.382727,0.354979,6.686398,0.257462
10.426572,0.217177,8.073648,0.351264
10.522470,0.319095,7.103223,0.287793
10.623250,0.283769,6.916392,0.267857
