logMstar,err_logMstar,logMBH,err_logMBH
8.142787,0.319064,5.617144,0.321918
8.310614,0.244520,4.666483,0.345699
8.478291,0.245198,5.210006,0.271467
8.606014,0.276005,5.919725,0.287326
8.624938,0.277696,5.216475,0.340747
8.710728,0.277679,6.264740,0.274102
8.885101,0.329160,5.454728,0.355443
8.891399,0.346156,5.428426,0.314585
8.930359,0.267895,7.194767,0.392294
8.970072,0.240901,5.160205,0.329176
8.993467,0.390107,5.232184,0.322686
8.995078,0.370794,7.016323,0.350683
9.017487,0.317017,5.706975,0.322009
9.029002,0.373761,5.184005,0.276930
9.044608,0.337225,5.283767,0.290704
9.057887,0.352462,6.534313,0.366679
9.089742,0.348208,5.762047,0.375054
9.091141,0.340683,6.360547,0.352606
9.123208,0.371305,5.522401,0.314987
9.149262,0.226578,6.601015,0.290529
9.221850,0.381802,5.430899,0.356033
9.230584,0.237998,7.476176,0.334111
9.237317,0.338650,5.145708,0.322813
9.279697,0.330988,4.249474,0.292141
9.281556,0.341782,7.276896,0.267307
9.407443,0.308847,6.218008,0.381684
9.409897,0.236859,6.557063,0.396466
9.424881,0.376839,8.462763,0.330342
9.439064,0.300976,6.005364,0.282378
9.458185,0.226928,6.508429,0.317231
9.472033,0.289330,6.781778,0.268530
9.476062,0.269458,5.410903,0.332825
9.519642,0.205217,6.423349,0.290528
9.547593,0.249411,6.432645,0.276119
9.548039,0.301368,6.226516,0.361623
9.561575,0.295988,6.249881,0.290708
9.622062,0.368200,8.514797,0.335800
9.638943,0.387068,5.058173,0.267628
9.639208,0.258507,6.689597,0.270463
9.734632,0.286559,6.059291,0.295122
9.801246,0.304320,7.630003,0.317724
9.811710,0.317863,8.323569,0.264740
9.871961,0.259637,7.771352,0.288002
9.961353,0.270691,6.759761,0.296249
10.019809,0.270380,7.898411,0.279483
10.028868,0.393676,7.538347,0.315709
10.033529,0.374041,5.696141,0.289742
10.053346,0.292211,7.325006,0.282652
10.087474,0.386264,7.405995,0.283050
10.213535,0.257921,6.456813,0.319271
10.281204,0.348379,7.573866,0.275607
10.285861,0.367694,7.638662,0.275334
10.286599,0.298433,8.499019,0.302616
10.383398,0.259829,8.890072,0.344979
10.407802,0.283289,8.395031,0.334775
10.480402,0.226968,7.551667,0.351001
10.523053,0.244736,7.940684,0.362900
10.610137,0.243827,8.017669,0.251345
10.954594,0.379224,9.094018,0.330835
