logMstar,err_logMstar,logMBH,err_logMBH
8.557369,0.205928,5.081946,0.327993
8.634990,0.246202,5.121028,0.315701
8.655946,0.229665,6.086605,0.372214
8.680347,0.209775,6.003161,0.358399
8.738981,0.204094,6.234772,0.336656
8.962898,0.262895,5.487387,0.356903
9.061350,0.250159,5.437283,0.335264
9.157994,0.232814,6.176191,0.351745
9.209048,0.384767,6.292709,0.397386
9.308882,0.225401,6.786311,0.348471
9.314682,0.214266,6.661380,0.289248
9.321275,0.313012,6.515755,0.253217
9.328689,0.246149,6.699397,0.338467
9.383261,0.217377,7.863773,0.344440
9.467738,0.258650,6.059024,0.346664
9.506757,0.315229,5.931661,0.319073
9.519477,0.296391,6.913120,0.389184
9.527115,0.343883,6.829152,0.260330
9.532916,0.307979,6.613753,0.291882
9.552857,0.265291,6.861042,0.396635
9.554039,0.241636,6.294022,0.319013
9.568902,0.283511,7.403273,0.295043
9.581878,0.359487,5.584615,0.362527
9.586415,0.300572,6.717910,0.294083
9.803346,0.200423,6.243585,0.257126
9.828750,0.328341,6.758775,0.289903
9.851751,0.345373,7.330073,0.287100
9.872863,0.260162,7.555780,0.342887
9.931669,0.371360,8.635528,0.345709
10.010588,0.312104,7.159605,0.372646
10.101182,0.373790,6.453726,0.343530
10.107449,0.247318,7.568557,0.352804
10.155549,0.225924,6.681394,0.370229
10.204530,0.373294,6.633492,0.299647
10.263430,0.210964,7.916314,0.305019
10.385564,0.338787,7.809832,0.362472
